title,description,url,image
Todo App,A distraction-free web app to help you focus on creating and completing tasks.,https://github.com/tgateley,1.png
Portfolio Website,A website built entirely in Python to showcase coding projects and apps.,https://github.com/tgateley,2.png
PDF Templates,A script that generates PDF templates of multiple pages given some predefined guidelines.,https://github.com/tgateley,3.png
PDF Invoices,A script that reads invoice records from Excel files and automatically generates PDF invoices.,https://github.com/tgateley,4.png
Positive News Site,A website that gets data from a news API and uses sentiment analysis to publish only positive news.,https://github.com/tgateley,5.png
Weather API,A REST API built with Python and Flask to serve historical weather data for various cities.,https://github.com/tgateley,6.png
WebCam Motion Capture,A program that turns your webcam into a motion dector and sends an email when a new object is detected.,https://github.com/tgateley,7.png
Tour Scraper,A program that checks a music band's website and sends an email when there are new tours.,https://github.com/tgateley,8.png
Live WebCam Timestamp,A program that starts the webcam and has a live timestamp,https://github.com/tgateley,9.png
Open Domain Chatbot,A chatbot built that can discuss anything with a human and is built using the Facebook API.,https://github.com/tgateley,10.png
Book Analysis,A program that analyizes a book using Natural Language Processing and Regex. Picture designed by Freepik http://www.freepik.com ,https://github.com/tgateley,11.png
Job Application Flask,A website to gather job applications using Flask Picture designed by Freepik http://www.freepik.com ,https://github.com/tgateley,12.png
Job Application Django,A website to gather job applications using Django Picture designed by Freepik http://www.freepik.com ,https://github.com/tgateley,13.png
Mood Visualizer,Visualizes the user's mood based on the analysis of dairy entries,https://github.com/tgateley,14.png
Visualizing Weather Forecast,A data web app that visualizes the weather forecast for the next five days of any city.,https://github.com/tgateley,15.png
Student Management System,A desktop PyQt6 GUI app for managing university student data with an SQL database backend.,https://github.com/tgateley,16.png
School Management System,A desktop PyQt6 GUI app for managing complex university data with an SQL database backend.,https://github.com/tgateley,17.png
Restaurant Menu Web App,A Django web app to let customers see a restaurant menu and meal availability.,https://github.com/tgateley,18.png
